ALUNA: MARESSA KAREN HENRIQUE DA SILVA
MATRÍCULA: 20182BSI0140










Number of Disks           	    Time


3                                 0.000041 s
4                                 0.000031 s
5                                 0.000037 s
6                                 0.000030 s        
7                                 0.000035 s
8                                 0.000043 s
9                                 0.000051 s
10                                0.000049 s
11                                0.000050 s
12                                0.000097 s        
13                                0.000157 s
14                                0.000269 s
15                                0.000496 s
16                                0.000966 s
17                                0.001648 s
18                                0.003406 s
19                                0.007854 s
20                                0.016491 s
21                                0.036145 s                
22                                0.060796 s
23                                0.104998 s
24                                0.204842 s
25                                0.390244 s
26                                0.766051 s
27                                1.505331 s
28                                3.010925 s
29                                6.091755 s
30                               12.088853 s
31                               23.996220 s
32                               56.451241 s
33                             1m36.365170 s
34                             3m18.023699 s
35                            12m53.474739 s
